0,Sentiment,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil_Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West_Bengal
1,Analytical,3191,153,460,528,205,750,158,1038,1624,710,1012,443,3228,418,795,2198,52,3404,1,51,921,928,742,388,1068,1752,538,3241,315,1501
2,Anger,921,35,29,31,27,70,14,94,159,65,104,49,388,37,88,260,4,942,0,3,95,75,69,133,143,189,152,304,20,196
3,Confident,1173,53,202,137,46,213,52,327,485,260,443,107,729,124,188,650,12,1217,3,20,320,289,183,90,270,546,139,890,71,381
4,Fear,565,14,73,67,24,88,22,147,283,128,169,51,413,62,106,300,7,547,0,7,119,97,94,63,153,252,94,485,49,252
5,Joy,2506,128,574,461,267,997,178,1303,1750,898,1484,461,3373,469,938,2814,105,3043,17,90,1322,1155,972,492,1492,2105,598,3705,445,1785
6,Neutral,6579,341,1080,989,433,1603,333,2380,3320,1869,2578,958,6358,1091,1812,4946,113,6858,24,121,1929,2066,1703,857,2506,4037,1040,7084,755,3295
7,Sadness,3072,136,325,341,148,722,96,789,1331,697,1469,404,2492,398,611,1816,16,3329,3,37,707,701,578,434,995,1527,574,2880,249,1425
